token_1,ws,token_2,count
new,1_SP,Identifier,7877
;,1_NL,while,99
while,1_SP,(,215
},1_NL,return,620
private,1_SP,void,446
void,1_SP,Identifier,4788
{,1_NL_2_ID,boolean,28
=,1_SP,Boolean,434
Boolean,0_SP,;,1025
),1_SP,||,194
||,1_SP,(,63
&&,1_SP,(,80
=,1_SP,(,668
{,1_NL_2_ID,while,27
(,0_SP,Boolean,478
Boolean,0_SP,),655
{,1_NL_2_ID,if,660
;,1_NL,continue,53
continue,0_SP,;,167
Identifier,1_SP,!=,1499
!=,1_SP,String,34
return,0_SP,;,305
},1_NL,Identifier,706
;,1_NL,switch,21
switch,1_SP,(,160
{,1_NL_2_ID,case,34
case,1_SP,String,222
String,0_SP,:,222
:,1_NL_2_ID,Identifier,73
;,1_NL,break,274
break,0_SP,;,399
;,1_NL_2_DD,case,54
;,1_NL_4_DD,},12244
Comment,1_NL_2_DD,},183
String,1_SP,&&,61
!=,1_SP,Identifier,240
{,1_NL_2_ID,switch,11
case,1_SP,Identifier,523
Identifier,0_SP,:,531
:,1_NL_2_ID,return,18
},1_NL,break,67
;,1_NL_2_DD,default,22
default,0_SP,:,145
{,1_NL_2_ID,char,14
},1_NL,try,46
try,1_SP,{,609
{,1_NL_2_ID,int,144
Identifier,1_SP,<,540
<,1_SP,DecimalInteger,108
DecimalInteger,0_SP,),3130
},1_SP,else,871
else,1_SP,{,602
(,0_SP,char,35
char,0_SP,),16
),1_SP,Identifier,1608
},1_SP,catch,619
catch,1_SP,(,922
},1_NL,EOF,1995
Comment,1_NL,public,1356
public,1_SP,class,1073
Identifier,1_SP,extends,1307
extends,1_SP,Identifier,1896
{,1_NL_2_ID,public,46
public,1_SP,void,2723
=,1_SP,String,1013
String,1_NL_4_ID,+,90
+,1_SP,String,1941
String,1_NL,+,522
;,1_NL_4_DD,Identifier,504
(,0_SP,new,1335
(,0_SP,(,797
),1_SP,!=,421
!=,1_SP,Null,1392
Null,0_SP,),2711
(,0_SP,String,9163
),0_SP,.,6738
),1_SP,>,158
>,1_SP,DecimalInteger,284
String,1_SP,+,2016
+,1_SP,Identifier,2270
Identifier,0_SP,",",19277
",",1_SP,Identifier,17529
Comment,1_NL,Annotation,213
Annotation,0_SP,Identifier,7052
(,0_SP,{,13
{,1_SP,String,4
String,0_SP,",",4012
",",1_SP,String,2073
String,1_SP,},3
},0_SP,),419
),1_NL,public,427
Identifier,1_SP,+,1383
;,2_NL_4_DD,Comment,58
Identifier,0_SP,<,10490
<,0_SP,Identifier,8559
Identifier,0_SP,>,8365
>,1_SP,Identifier,8669
;,2_NL,Annotation,455
Identifier,1_NL,public,3976
public,1_SP,Identifier,6204
.,0_SP,class,2468
class,0_SP,.,140
},2_NL,Annotation,5418
public,1_SP,boolean,477
<,0_SP,?,1008
?,1_SP,extends,575
{,1_NL_2_ID,try,154
return,1_SP,Boolean,600
private,1_SP,boolean,163
},2_NL,return,346
",",1_NL_4_ID,Identifier,356
{,2_NL_2_DD,Identifier,2
class,0_SP,),849
;,2_NL,Identifier,5072
;,2_NL,for,246
for,1_SP,(,1194
Identifier,1_SP,:,906
:,1_SP,Identifier,1108
;,2_NL,if,745
),1_SP,+,556
},2_NL,Identifier,747
;,1_NL,try,244
>,0_SP,(,1334
{,2_NL_2_ID,Identifier,5
==,1_SP,Null,1267
Null,1_SP,||,180
||,1_SP,!,53
;,2_NL,return,662
),0_SP,",",3994
Identifier,1_SP,instanceof,493
instanceof,1_SP,Identifier,548
{,2_NL_2_ID,Comment,14
",",1_SP,?,123
=,1_NL_4_ID,Identifier,96
return,1_SP,(,247
;,1_NL,for,494
public,1_SP,abstract,122
abstract,1_SP,class,71
{,1_NL_2_ID,abstract,4
abstract,1_SP,int,4
;,1_NL,abstract,4
abstract,1_SP,Identifier,52
abstract,1_SP,boolean,4
abstract,1_SP,void,29
;,1_NL,void,6
{,0_SP,},36
},1_NL,int,20
return,1_SP,DecimalInteger,86
DecimalInteger,0_SP,;,1302
Comment,1_NL,abstract,5
{,1_NL_2_ID,Annotation,288
Identifier,1_SP,boolean,3
},2_NL,public,3361
?,0_SP,>,528
Identifier,0_SP,...,234
...,1_SP,Identifier,237
),1_NL_4_ID,throws,62
throws,1_SP,Identifier,2463
{,1_NL_2_DD,Identifier,128
),1_SP,throws,2389
class,0_SP,",",679
),1_NL,Annotation,63
public,1_SP,Annotation,29
Annotation,0_SP,interface,29
interface,1_SP,Identifier,596
Comment,1_NL,boolean,50
),1_SP,default,15
default,1_SP,Boolean,4
),1_NL,final,21
final,1_SP,class,342
Identifier,1_SP,implements,561
implements,1_SP,Identifier,583
return,1_SP,new,634
Comment,2_NL,import,3
abstract,1_SP,static,9
static,1_SP,class,193
;,2_NL,public,1581
public,1_SP,static,1415
static,1_SP,Identifier,2040
{,1_SP,},18
{,1_NL_2_ID,throw,490
throw,1_SP,new,1381
",",1_SP,DecimalInteger,1285
{,1_NL_2_ID,super,75
super,0_SP,(,598
(,1_NL_4_ID,int,8
Identifier,0_SP,[,2217
[,0_SP,],1854
],1_SP,Identifier,1148
{,1_NL_2_DD,Comment,22
),1_SP,&&,249
&&,1_SP,!,184
return,1_SP,super,46
super,0_SP,.,236
.,0_SP,<,43
>,0_SP,Identifier,43
",",1_SP,Null,589
DecimalInteger,0_SP,",",2249
(,0_SP,DecimalInteger,2218
",",1_SP,Boolean,543
Boolean,0_SP,",",419
{,1_NL_2_ID,static,22
;,2_NL,private,569
final,1_SP,boolean,105
;,1_NL,this,1525
Identifier,1_NL_4_ID,?,18
?,1_SP,new,26
),1_NL,:,67
;,1_NL_4_DD,this,20
),1_SP,Comment,61
",",1_SP,(,202
Identifier,1_SP,public,1664
;,1_NL,Comment,201
",",1_NL,Identifier,4815
",",1_NL_4_ID,String,65
;,1_NL_6_DD,},405
=,1_NL_4_ID,new,42
{,1_NL_2_DD,Annotation,2
public,1_SP,int,358
},0_SP,;,235
;,2_NL,void,499
Comment,1_NL,void,110
Comment,1_NL,int,102
=,1_SP,DecimalInteger,1025
<,1_SP,Identifier,454
;,1_NL,int,309
+,1_SP,DecimalInteger,256
Identifier,0_SP,++,498
++,0_SP,;,126
},1_NL,final,8
Identifier,1_SP,&=,1
&=,1_SP,Identifier,1
),1_SP,-,163
-,1_SP,Identifier,178
;,1_NL_4_DD,final,16
;,1_NL,final,387
private,1_SP,interface,4
private,1_SP,class,30
>,0_SP,>,515
},1_SP,finally,59
finally,1_SP,{,59
=,1_SP,Null,295
Identifier,1_NL_4_ID,implements,3
{,1_NL_2_DD,private,4
;,2_NL,final,85
{,1_NL_2_ID,void,10
",",1_SP,Annotation,35
Identifier,1_NL,Annotation,25
(,0_SP,Annotation,87
Identifier,1_SP,Annotation,27
",",1_NL_4_ID,Annotation,12
{,1_NL_2_DD,this,32
import,1_SP,static,1141
(,0_SP,final,507
),1_NL_4_ID,.,1080
;,2_NL_4_DD,Identifier,384
},2_NL,for,41
!,0_SP,String,38
String,0_SP,.,251
),1_NL_4_ID,&&,34
),1_NL,.,1437
[,0_SP,DecimalInteger,376
DecimalInteger,0_SP,],423
],0_SP,),355
),1_NL_4_ID,?,28
?,1_SP,Null,43
Null,1_SP,:,43
",",1_NL_4_DD,Identifier,6
),1_SP,?,149
?,1_SP,String,93
String,1_SP,:,85
:,1_SP,String,88
},3_NL,Identifier,11
(,0_SP,Null,717
Null,0_SP,",",482
?,1_SP,Identifier,424
),1_SP,:,317
;,2_NL_4_DD,for,19
;,1_NL_8_DD,Identifier,71
Identifier,1_NL_4_ID,:,5
;,1_NL_4_DD,for,26
static,1_SP,int,64
",",1_SP,char,5
{,1_NL_2_ID,for,91
-,1_SP,DecimalInteger,196
;,1_SP,Identifier,799
Identifier,1_SP,>=,142
>=,1_SP,DecimalInteger,62
Identifier,0_SP,--,38
--,0_SP,),13
),1_SP,==,544
return,1_SP,-,42
-,0_SP,DecimalInteger,831
},2_NL,boolean,33
(,0_SP,this,644
this,0_SP,),396
},2_NL,static,157
return,1_SP,this,433
this,0_SP,;,407
(,0_SP,boolean,233
Comment,1_NL,final,70
},3_NL,static,1
.,1_NL_4_ID,Identifier,1
==,1_SP,DecimalInteger,319
else,1_SP,if,474
;,1_NL_4_DD,return,131
;,1_NL_8_DD,return,13
",",1_NL_8_DD,Identifier,16
;,1_NL_8_DD,if,15
(,1_NL_4_ID,String,129
",",1_NL,String,521
;,2_NL_4_DD,static,4
},1_NL,for,45
++,0_SP,),350
==,1_SP,this,33
&&,1_SP,this,15
Identifier,1_NL,:,14
Identifier,1_SP,protected,45
protected,1_SP,void,326
{,1_NL_2_ID,final,90
final,1_SP,int,363
;,1_NL_4_DD,int,9
Identifier,1_SP,*,79
*,1_SP,DecimalInteger,109
),1_SP,^,6
^,1_SP,Identifier,7
^,1_SP,(,19
>,0_SP,",",45
Identifier,1_NL,protected,267
protected,1_SP,Identifier,210
},0_SP,",",242
(,1_NL_4_ID,new,94
(,1_NL_4_ID,Identifier,1655
),1_NL_4_DD,.,19
{,1_NL_2_DD,return,38
),1_NL,class,9
{,1_NL,},353
Identifier,2_SP,public,1
{,1_SP,Identifier,8
Identifier,1_SP,},7
default,1_SP,String,4
>,0_SP,[,24
default,1_SP,{,4
default,1_SP,Identifier,70
class,0_SP,;,37
{,1_NL_2_ID,interface,1
Comment,2_NL,Comment,60
(,1_NL_4_ID,Annotation,7
",",1_SP,int,480
public,1_SP,final,368
",",1_NL,Annotation,31
;,1_NL,Annotation,56
Identifier,1_NL,Identifier,35
},1_NL,Annotation,8
",",1_SP,this,115
this,0_SP,",",107
Identifier,1_SP,>,270
},1_NL,assert,1
assert,1_SP,Identifier,22
{,1_NL_2_ID,assert,24
;,1_NL,assert,8
;,1_NL,char,10
:,1_NL,case,161
:,1_NL_2_ID,throw,10
;,1_NL_8_DD,},1112
",",1_NL,int,28
{,1_NL_2_DD,assert,2
String,1_NL_4_ID,||,3
Identifier,1_SP,-,225
{,1_NL_2_DD,throw,8
;,1_SP,Comment,618
],1_SP,{,32
{,0_SP,Identifier,95
Identifier,0_SP,},58
{,1_NL_2_DD,int,4
;,2_NL_4_DD,private,32
--,0_SP,;,24
},1_NL,throw,22
;,1_NL_4_DD,private,14
private,1_SP,abstract,5
},2_NL,abstract,8
Identifier,1_NL,void,6
],1_SP,+,50
[,0_SP,Identifier,599
Identifier,0_SP,],439
],0_SP,;,272
),1_NL_4_ID,||,13
{,1_NL_2_ID,break,14
;,1_NL,boolean,159
Identifier,1_SP,?,126
],1_SP,:,21
!=,1_SP,DecimalInteger,179
>,0_SP,),118
{,1_NL_2_DD,super,12
Identifier,1_NL_4_ID,+,12
!,0_SP,(,79
;,2_NL,interface,8
",",1_SP,boolean,205
",",1_SP,new,405
>,1_SP,{,56
Comment,1_NL,static,94
?,1_SP,DecimalInteger,30
DecimalInteger,1_SP,:,35
:,1_SP,new,26
),0_SP,},103
;,1_NL_4_ID,Identifier,1
{,1_NL_2_DD,boolean,2
public,1_SP,interface,542
throw,1_SP,Identifier,173
static,1_SP,void,224
static,1_SP,abstract,3
{,1_NL_2_ID,protected,6
},1_NL,protected,1
},2_NL,void,138
;,3_NL,private,3
instanceof,2_SP,Identifier,1
),1_NL,&&,43
",",1_NL_4_ID,boolean,19
case,1_SP,DecimalInteger,63
DecimalInteger,0_SP,:,64
;,1_NL_4_DD,break,5
},1_NL,this,57
public,1_SP,synchronized,155
synchronized,1_SP,void,118
Identifier,1_SP,|=,42
|=,1_SP,Identifier,26
",",1_NL,Comment,7
;,1_NL_10_DD,},8
;,3_NL,final,2
(,1_NL_4_ID,(,18
;,1_NL_4_DD,if,229
;,3_NL,public,479
Identifier,1_NL,{,1354
{,1_NL_4_ID,Annotation,163
),1_NL,{,6870
{,1_NL_4_ID,Identifier,5565
},1_NL_4_DD,},2387
{,1_NL_4_ID,private,234
{,1_NL_4_ID,this,1123
{,1_NL_4_ID,for,171
(,0_SP,double,34
double,1_SP,Identifier,118
{,1_NL_4_ID,public,235
),1_NL_4_ID,return,439
),1_NL_4_ID,(,6
;,1_NL_4_DD,else,111
else,1_NL,{,247
{,1_NL_4_ID,if,1171
),1_NL_4_ID,Identifier,412
else,1_NL_4_ID,Identifier,41
},1_NL,else,396
Identifier,1_SP,->,1029
->,1_SP,{,254
this,0_SP,::,38
::,0_SP,Identifier,1157
),1_SP,return,442
{,1_NL_4_ID,return,4740
},2_NL_4_DD,},598
;,2_NL,protected,38
protected,1_SP,final,24
;,1_NL,protected,73
Comment,2_NL,static,4
this,0_SP,(,178
;,1_NL_4_DD,try,12
try,1_NL,{,304
},1_NL,catch,303
{,1_NL_4_ID,throw,500
",",1_SP,-,64
{,1_NL_4_ID,try,223
{,1_NL_4_ID,Comment,198
Identifier,1_SP,+=,147
+=,1_SP,String,29
;,1_NL,throw,55
},1_NL_4_DD,Comment,15
Comment,2_NL_4_ID,Comment,13
},1_NL,finally,41
finally,1_NL,{,41
Comment,2_NL_4_ID,public,19
return,1_SP,!,48
Null,1_SP,?,300
},1_NL,boolean,2
=,1_SP,!,11
:,1_SP,Null,99
Null,1_SP,==,6
instanceof,1_SP,byte,8
byte,0_SP,[,315
try,1_SP,(,41
},2_NL,protected,155
(,0_SP,byte,74
Comment,1_NL_4_DD,},56
Comment,1_NL,protected,25
protected,1_SP,boolean,16
{,1_NL_4_ID,boolean,32
Null,1_SP,&&,226
},2_NL,if,340
String,1_NL_8_ID,+,45
;,1_NL_12_DD,},230
Comment,1_NL,<,8
;,2_NL,<,20
Comment,1_NL,long,32
long,1_SP,Identifier,818
;,2_NL,int,81
;,3_NL,Comment,19
private,1_SP,volatile,108
volatile,1_SP,boolean,25
<,0_SP,>,1171
),1_NL,static,7
static,1_SP,<,54
Identifier,0_SP,::,1081
),1_NL_8_ID,.,126
;,1_NL_8_DD,boolean,1
->,1_SP,Identifier,677
},2_NL_4_DD,Comment,42
DecimalInteger,1_SP,&&,102
&&,1_NL_8_ID,Identifier,7
),1_NL_8_DD,{,41
{,1_NL_4_ID,new,46
{,1_NL_4_ID,while,24
Comment,1_NL,continue,2
},2_NL,final,43
{,1_NL_4_ID,continue,11
;,1_NL,long,96
{,1_NL_4_ID,break,6
{,1_NL_4_ID,protected,24
{,1_NL_4_ID,int,155
+,1_SP,(,114
;,2_NL_8_DD,if,12
+,1_NL_8_ID,String,36
",",1_NL_8_ID,Identifier,84
;,2_NL_16_DD,if,3
{,1_NL_4_ID,super,495
",",1_SP,long,135
+,1_NL,String,155
this,1_SP,==,64
?,1_SP,!,30
:,1_SP,DecimalInteger,103
DecimalInteger,1_SP,*,190
*,1_SP,Identifier,166
;,1_NL_8_DD,Comment,10
Comment,1_NL_8_ID,Comment,1
],0_SP,",",67
",",1_NL_8_ID,new,20
;,2_NL,boolean,60
->,1_NL_8_ID,Identifier,2
),1_NL_8_DD,),68
),1_NL,Identifier,55
;,1_NL_12_DD,Comment,6
Comment,1_NL_8_ID,},3
},3_NL,private,9
;,2_NL_4_DD,return,123
Comment,2_NL_4_DD,},3
int,0_SP,),112
},1_NL,continue,6
Comment,1_NL,for,39
),1_SP,->,191
],1_SP,=,127
(,0_SP,++,15
++,0_SP,Identifier,18
>,1_NL,{,64
{,1_NL_4_ID,void,24
Comment,2_NL_4_ID,default,1
public,1_SP,enum,69
enum,1_SP,Identifier,84
),1_NL_8_ID,{,1
;,2_NL_8_DD,private,12
",",1_NL_24_ID,Identifier,6
),1_NL_24_DD,{,10
;,2_NL,class,45
",",1_SP,final,218
{,1_NL_4_ID,final,267
=,1_SP,this,86
",",2_NL,Comment,42
),1_NL_4_ID,throw,74
),1_SP,instanceof,67
{,1_NL_4_ID,case,122
:,1_NL_4_ID,return,330
;,1_NL_4_DD,case,307
;,1_NL_4_DD,default,78
:,1_NL_4_ID,throw,38
{,1_NL_4_ID,switch,69
:,1_NL_4_ID,Identifier,198
==,1_SP,-,71
else,1_NL_4_ID,throw,9
DecimalInteger,1_SP,||,85
},1_NL,super,13
;,1_NL_8_DD,try,19
DecimalInteger,1_SP,Comment,95
Comment,0_SP,),101
),1_NL_4_ID,continue,52
{,1_NL_4_ID,do,2
do,1_NL,{,3
},1_NL,while,6
),0_SP,],99
),1_NL_8_ID,&&,17
||,1_SP,String,23
?,1_SP,(,32
protected,1_SP,abstract,14
->,1_SP,Boolean,2
;,2_NL_4_DD,},122
String,1_NL_8_ID,:,1
;,1_NL_4_DD,Comment,13
{,2_NL_4_ID,private,187
final,1_SP,long,98
;,1_NL,public,260
{,1_NL_4_ID,static,10
;,2_NL,static,56
;,2_NL,throw,8
Null,1_NL_8_ID,&&,3
+,1_SP,super,5
Comment,1_NL,EOF,87
private,1_SP,long,40
;,4_SP,Comment,2
public,1_SP,long,113
(,0_SP,long,120
private,1_SP,int,134
;,2_NL,try,135
Identifier,1_SP,|,87
|,1_SP,Identifier,97
Identifier,1_SP,||,119
],0_SP,::,36
::,0_SP,new,202
new,0_SP,),44
Comment,2_NL,private,17
Comment,1_NL,},17
],0_SP,{,123
{,0_SP,String,117
String,0_SP,},66
int,0_SP,[,82
Identifier,1_NL_8_ID,.,12
;,1_NL_16_DD,Identifier,1
{,1_NL_4_DD,Comment,7
Comment,2_NL_8_ID,Identifier,5
==,1_SP,int,3
],0_SP,.,172
==,1_SP,long,3
long,0_SP,[,9
==,1_SP,short,2
short,0_SP,[,4
(,0_SP,short,9
==,1_SP,char,1
char,0_SP,[,41
==,1_SP,byte,3
==,1_SP,float,2
float,0_SP,[,4
(,0_SP,float,30
==,1_SP,double,2
double,0_SP,[,6
;,2_NL,new,10
Comment,1_NL,{,16
",",1_NL_8_ID,String,15
",",1_SP,!,1
),1_NL_8_ID,||,15
(,1_NL_8_ID,Identifier,46
),1_NL,+,20
;,1_NL_8_DD,continue,1
;,2_NL,switch,38
;,2_NL_4_DD,case,82
:,1_NL_4_ID,final,2
;,2_NL_4_DD,default,25
Comment,1_NL_4_ID,continue,1
;,2_NL_4_DD,final,21
Comment,2_NL_4_ID,private,10
;,2_NL_8_DD,return,23
},2_NL,throw,22
Identifier,1_NL,private,24
{,1_NL_8_ID,Identifier,6
),1_NL_8_DD,},1
{,2_NL_4_ID,public,309
",",1_NL_37_ID,Identifier,5
;,2_NL_37_DD,Identifier,1
",",1_NL_17_ID,Identifier,5
;,2_NL_17_DD,Identifier,1
{,1_NL,Comment,11
",",1_NL_23_ID,Identifier,4
),1_NL_23_DD,{,2
;,2_NL,this,87
),1_SP,<,36
long,0_SP,),12
->,1_SP,!,3
;,2_NL_8_DD,Identifier,38
;,1_NL,double,30
new,1_SP,double,1
),1_SP,(,70
double,0_SP,),2
],0_SP,++,1
],1_SP,+=,2
+=,1_SP,Identifier,82
:,1_NL_4_ID,break,5
],1_SP,/=,1
/=,1_SP,Identifier,1
",",1_NL_35_ID,Identifier,2
),1_NL_35_DD,{,1
),1_SP,continue,19
class,1_NL_8_ID,:,1
",",1_NL_26_ID,Identifier,7
),1_NL_26_DD,{,1
else,1_NL_4_ID,return,7
->,1_SP,Null,2
),1_NL_8_ID,:,4
{,1_NL_4_ID,(,14
},1_SP,Comment,3
Comment,2_NL,public,14
;,2_NL_4_DD,if,77
;,2_NL_4_DD,throw,8
;,2_NL_4_DD,try,29
{,1_NL_4_ID,assert,9
final,1_SP,byte,39
new,1_SP,char,12
[,0_SP,(,4
],1_SP,==,40
Comment,1_NL_4_ID,Identifier,3
static,1_SP,byte,6
{,1_NL_4_ID,char,16
public,1_SP,<,98
Comment,3_NL,Comment,1
Comment,2_NL_4_ID,Annotation,12
->,1_NL,{,4
;,2_NL,while,42
),1_NL_4_ID,break,12
{,1_NL_8_ID,new,2
",",1_NL,new,240
",",1_NL_16_DD,Comment,2
Comment,1_NL_16_ID,new,1
Comment,1_NL_16_ID,Identifier,4
Identifier,1_NL_8_DD,},7
{,1_NL_12_DD,Comment,3
Comment,1_NL_12_ID,},2
Comment,1_NL_16_DD,Comment,1
Comment,2_NL_16_ID,return,1
Comment,1_NL_4_DD,Comment,5
Comment,1_NL_4_ID,private,3
Comment,1_NL_16_ID,return,1
(,1_NL_8_ID,final,2
",",1_NL,final,5
},2_NL,int,45
Comment,2_NL,final,3
DecimalInteger,1_SP,==,3
Comment,1_NL_4_ID,},7
),1_SP,super,15
=,1_SP,{,32
),0_SP,[,13
+,1_NL,(,7
>,1_SP,implements,19
Comment,1_NL_4_ID,return,1
:,1_SP,(,21
;,1_NL_4_DD,continue,2
),1_SP,>=,31
>=,1_SP,Identifier,66
;,2_NL_8_DD,},5
&&,1_NL_8_ID,(,2
=,1_SP,super,17
->,1_SP,(,215
),1_NL_4_ID,for,3
),1_NL_4_ID,if,21
;,2_NL_12_DD,return,2
],1_NL_8_ID,{,5
<=,1_SP,DecimalInteger,49
->,1_SP,String,8
],1_SP,&&,1
),1_SP,new,6
),1_NL,private,20
],0_SP,>,217
||,1_SP,double,1
double,0_SP,.,3
||,1_SP,float,1
float,0_SP,.,3
||,1_SP,byte,1
byte,0_SP,.,3
||,1_SP,short,1
short,0_SP,.,3
||,1_SP,int,1
int,0_SP,.,5
||,1_SP,long,1
long,0_SP,.,5
||,1_SP,boolean,1
boolean,0_SP,.,6
||,1_NL_8_ID,String,2
&&,1_NL_8_ID,!,1
||,1_NL_8_ID,Identifier,4
},3_NL,Comment,1
Comment,1_NL,switch,2
Comment,1_NL,throw,15
],0_SP,[,118
;,1_NL_5_ID,Identifier,2
),1_NL_5_DD,{,2
?,0_SP,",",10
?,1_SP,super,18
super,1_SP,Identifier,18
",",1_NL_8_ID,(,13
},0_SP,.,2
static,1_SP,enum,4
Identifier,1_NL_4_DD,},22
},3_NL,public,7
=,1_SP,-,62
;,1_NL_8_DD,private,4
{,1_NL_8_ID,String,2
String,1_NL_8_DD,},1
=,1_NL_8_ID,Identifier,8
(,1_NL_8_ID,String,22
;,2_NL_16_DD,public,1
),1_NL_4_ID,super,2
Comment,2_NL,Annotation,14
!,0_SP,super,4
private,1_SP,<,11
+,1_SP,this,17
Comment,2_NL,package,890
DecimalInteger,1_SP,?,63
),1_NL,),1
static,1_SP,long,14
),1_SP,<=,11
-,0_SP,Identifier,6
),1_NL_4_ID,try,1
},1_NL_8_DD,},4
!=,1_SP,-,89
),1_NL_4_ID,this,13
else,1_NL_4_ID,this,5
class,0_SP,::,202
static,1_NL,{,8
",",1_NL_27_ID,Annotation,2
),1_NL_27_DD,{,2
",",1_NL_28_ID,Annotation,2
),1_NL_28_DD,{,3
protected,1_SP,int,20
protected,1_SP,static,14
this,1_SP,+,15
;,1_NL_4_DD,throw,7
;,1_NL,static,74
),1_SP,this,12
),1_NL_4_DD,return,8
protected,1_SP,transient,2
transient,1_SP,Identifier,3
||,1_SP,this,1
<=,1_SP,-,1
),1_SP,*,16
DecimalInteger,1_SP,-,10
++,0_SP,],19
String,1_SP,?,5
),1_NL,||,23
DecimalInteger,1_SP,+,33
public,1_SP,byte,17
byte,1_SP,Identifier,69
public,1_SP,short,3
short,1_SP,Identifier,14
public,1_SP,float,3
float,1_SP,Identifier,35
public,1_SP,double,7
",",1_SP,byte,33
",",1_SP,short,4
",",1_SP,float,8
",",1_SP,double,12
!=,1_SP,this,7
class,1_SP,&&,6
{,2_NL,},74
return,1_SP,byte,2
",",1_NL_60_ID,Identifier,4
),1_NL_60_DD,{,4
),1_NL_16_DD,),2
>,1_SP,extends,14
{,1_SP,Comment,26
Comment,1_SP,},2
Comment,1_NL_8_ID,Identifier,1
Comment,2_NL,return,3
;,1_NL_16_DD,},4
-,1_SP,String,16
",",1_NL_22_ID,Identifier,4
),1_NL_22_DD,{,3
],1_SP,!=,13
Comment,1_NL,this,12
:,1_NL_4_ID,switch,1
:,1_NL,{,1
},1_NL,case,13
:,1_NL_4_ID,int,6
Identifier,1_SP,^,19
||,1_SP,super,1
(,0_SP,--,2
--,0_SP,Identifier,4
(,1_NL_8_ID,(,3
;,1_NL_20_DD,},5
Comment,2_NL_8_ID,try,1
),1_SP,throw,283
:,1_SP,super,7
",",1_SP,++,1
",",1_NL_15_ID,Identifier,4
;,2_NL_15_DD,void,1
",",1_NL_19_ID,Identifier,2
;,1_NL_23_DD,},1
{,2_NL_4_ID,Annotation,31
Comment,3_NL_4_ID,public,1
;,3_NL,Annotation,14
;,2_NL_8_DD,public,4
",",1_NL,(,11
:,1_NL,for,3
continue,1_SP,Identifier,3
{,2_NL_4_ID,protected,5
<,1_SP,(,3
Identifier,1_NL_8_DD,),6
},2_NL_8_DD,Comment,2
Comment,2_NL_8_ID,return,2
{,2_NL_4_ID,Identifier,247
{,2_NL_4_ID,Comment,74
Comment,2_NL_4_ID,Identifier,4
;,2_NL,default,7
default,1_SP,boolean,12
},2_NL,default,91
assert,1_SP,DecimalInteger,1
DecimalInteger,1_SP,<=,2
(,1_NL_8_ID,new,24
.,1_NL_8_ID,Identifier,5
+=,1_SP,DecimalInteger,33
;,2_NL_8_DD,Annotation,4
:,1_NL_4_ID,if,48
},3_NL_4_DD,},117
Comment,1_NL,default,49
default,1_SP,void,72
DecimalInteger,1_NL_8_ID,?,2
>,0_SP,...,2
static,1_SP,synchronized,19
else,1_SP,Comment,1
{,1_NL_4_ID,long,23
Identifier,1_NL_8_DD,{,6
;,2_NL,super,3
(,0_SP,super,3
),1_NL,boolean,2
->,1_SP,new,30
;,2_NL_8_DD,for,3
->,1_NL_8_ID,new,1
;,1_NL,else,11
),1_SP,/,38
/,1_SP,DecimalFloatingPoint,7
DecimalFloatingPoint,0_SP,),19
Comment,2_NL_4_DD,Comment,3
;,1_NL,do,3
